Invoice_ID,Customer_ID,Product_Name,Quantity,Transaction_Date
INV10000,5524,Vang hồng,3,2013-08-10
INV10000,5524,Bò bít tết,1,2013-08-10
INV10001,5524,Vang đỏ Bordeaux,3,2013-11-13
INV10002,5524,Bò bít tết,2,2013-05-29
INV10003,5524,Vang đỏ Bordeaux,2,2013-08-13
INV10003,5524,Bò bít tết,1,2013-08-13
INV10003,5524,Cá ngừ,2,2013-08-13
INV10004,5524,Champagne,1,2013-11-21
INV10004,5524,Bò bít tết,1,2013-11-21
INV10004,5524,Cá hồi Na Uy,2,2013-11-21
INV10005,5524,Bò bít tết,2,2013-10-03
INV10006,5524,Bò bít tết,1,2013-11-27
INV10007,5524,Vang trắng Chablis,3,2013-05-10
INV10008,5524,Vang đỏ Bordeaux,2,2013-10-09
INV10008,5524,Bò bít tết,2,2013-10-09
INV10008,5524,Mực ống,2,2013-10-09
INV10009,5524,Vang trắng Chablis,1,2013-06-19
INV10009,5524,Bò bít tết,1,2013-06-19
INV10010,5524,Champagne,3,2013-06-12
INV10010,5524,Bò bít tết,1,2013-06-12
INV10012,5524,Vang trắng Chablis,3,2013-06-10
INV10012,5524,Bò bít tết,2,2013-06-10
INV10013,5524,Champagne,2,2013-07-04
INV10013,5524,Bò bít tết,2,2013-07-04
INV10014,5524,Gà thả vườn,1,2013-09-07
INV10015,5524,Gà thả vườn,1,2013-03-13
INV10017,5524,Vang trắng Chablis,1,2013-10-24
INV10017,5524,Bò bít tết,2,2013-10-24
INV10018,5524,Vang trắng Chablis,3,2013-03-18
INV10018,5524,Bò bít tết,2,2013-03-18
INV10018,5524,Mực ống,1,2013-03-18
INV10019,5524,Vang đỏ Bordeaux,3,2013-07-23
INV10019,5524,Bò bít tết,1,2013-07-23
INV10020,5524,Vang trắng Chablis,3,2013-03-13
INV10021,5524,Thịt lợn Iberico,1,2013-09-05
INV10021,5524,Cá ngừ,1,2013-09-05
INV10023,2174,Vang hồng,1,2013-07-18
INV10023,2174,Bò bít tết,2,2013-07-18
INV10023,2174,Mực ống,2,2013-07-18
INV10025,2174,Vang đỏ Bordeaux,3,2013-07-13
INV10025,2174,Bò bít tết,1,2013-07-13
INV10027,4141,Vang trắng Chablis,2,2013-11-06
INV10027,4141,Bò bít tết,1,2013-11-06
INV10028,4141,Vang trắng Chablis,1,2013-05-24
INV10028,4141,Bò bít tết,1,2013-05-24
INV10030,4141,Vang trắng Chablis,3,2013-09-03
INV10030,4141,Bò bít tết,1,2013-09-03
INV10031,4141,Vang đỏ Bordeaux,3,2013-03-24
INV10031,4141,Bò bít tết,1,2013-03-24
INV10032,4141,Vang hồng,3,2013-04-03
INV10034,4141,Cá ngừ,1,2013-11-07
INV10036,4141,Champagne,2,2013-05-16
INV10036,4141,Bò bít tết,1,2013-05-16
INV10037,4141,Vang đỏ Bordeaux,1,2013-07-17
INV10037,4141,Bò bít tết,2,2013-07-17
INV10038,4141,Vang hồng,3,2013-11-07
INV10038,4141,Bò bít tết,1,2013-11-07
INV10038,4141,Mực ống,1,2013-11-07
INV10039,4141,Vang đỏ Bordeaux,3,2013-11-05
INV10039,4141,Bò bít tết,2,2013-11-05
INV10042,4141,Vang hồng,1,2013-12-23
INV10042,4141,Bò bít tết,1,2013-12-23
INV10043,4141,Vang hồng,2,2013-02-12
INV10043,4141,Bò bít tết,1,2013-02-12
INV10044,4141,Vang hồng,3,2013-03-02
INV10044,4141,Bò bít tết,2,2013-03-02
INV10045,4141,Champagne,2,2013-02-24
INV10046,6182,Mực ống,2,2013-05-22
INV10050,6182,Mực ống,2,2013-08-17
INV10052,5324,Vang đỏ Bordeaux,1,2013-01-27
INV10053,5324,Vang trắng Chablis,2,2013-02-15
INV10053,5324,Bò bít tết,1,2013-02-15
INV10055,5324,Vang trắng Chablis,3,2013-11-02
INV10055,5324,Bò bít tết,1,2013-11-02
INV10058,5324,Vang trắng Chablis,3,2013-12-12
INV10058,5324,Bò bít tết,1,2013-12-12
INV10058,5324,Cá ngừ,2,2013-12-12
INV10060,5324,Bò bít tết,2,2013-01-08
INV10062,5324,Vang trắng Chablis,2,2013-05-22
INV10063,5324,Vang đỏ Bordeaux,3,2013-07-28
INV10063,5324,Bò bít tết,1,2013-07-28
INV10065,5324,Vang hồng,3,2013-12-22
INV10065,5324,Bò bít tết,1,2013-12-22
INV10066,7446,Vang đỏ Bordeaux,2,2013-08-23
INV10066,7446,Bò bít tết,1,2013-08-23
INV10067,7446,Vang trắng Chablis,2,2013-04-23
INV10067,7446,Bò bít tết,2,2013-04-23
INV10068,7446,Champagne,1,2013-01-05
INV10068,7446,Bò bít tết,2,2013-01-05
INV10069,7446,Vang trắng Chablis,2,2013-06-25
INV10069,7446,Bò bít tết,1,2013-06-25
INV10070,7446,Vang trắng Chablis,2,2013-05-18
INV10070,7446,Bò bít tết,1,2013-05-18
INV10071,7446,Vang trắng Chablis,1,2013-05-16
INV10073,7446,Vang đỏ Bordeaux,2,2013-11-11
INV10073,7446,Bò bít tết,2,2013-11-11
INV10075,7446,Vang trắng Chablis,3,2013-09-19
INV10075,7446,Bò bít tết,2,2013-09-19
INV10076,7446,Champagne,2,2013-10-04
INV10077,7446,Vang hồng,2,2013-03-03
INV10077,7446,Bò bít tết,1,2013-03-03
INV10078,7446,Champagne,2,2013-07-14
INV10078,7446,Bò bít tết,2,2013-07-14
INV10079,7446,Vang hồng,3,2013-05-15
INV10079,7446,Bò bít tết,1,2013-05-15
INV10080,7446,Champagne,2,2013-04-18
INV10082,7446,Vang hồng,2,2013-05-19
INV10082,7446,Bò bít tết,1,2013-05-19
INV10083,7446,Vang hồng,1,2013-01-05
INV10084,7446,Champagne,2,2013-06-11
INV10084,7446,Bò bít tết,1,2013-06-11
INV10085,7446,Vang trắng Chablis,2,2013-12-20
INV10085,7446,Bò bít tết,1,2013-12-20
INV10086,965,Champagne,3,2013-06-21
INV10086,965,Bò bít tết,2,2013-06-21
INV10087,965,Vang trắng Chablis,3,2013-07-30
INV10087,965,Bò bít tết,1,2013-07-30
INV10088,965,Vang hồng,3,2013-05-26
INV10088,965,Bò bít tết,1,2013-05-26
INV10089,965,Vang trắng Chablis,1,2013-05-27
INV10089,965,Bò bít tết,2,2013-05-27
INV10090,965,Cá hồi Na Uy,2,2013-11-10
INV10091,965,Champagne,3,2013-04-27
INV10091,965,Bò bít tết,2,2013-04-27
INV10094,965,Vang trắng Chablis,3,2013-01-12
INV10094,965,Bò bít tết,1,2013-01-12
INV10095,965,Vang đỏ Bordeaux,2,2013-07-23
INV10095,965,Bò bít tết,1,2013-07-23
INV10096,965,Thịt lợn Iberico,1,2013-09-26
INV10096,965,Cá ngừ,2,2013-09-26
INV10097,965,Champagne,2,2013-04-28
INV10097,965,Bò bít tết,1,2013-04-28
INV10098,965,Champagne,2,2013-03-29
INV10099,965,Gà thả vườn,1,2013-05-20
INV10103,6177,Vang trắng Chablis,2,2013-07-07
INV10103,6177,Bò bít tết,1,2013-07-07
INV10104,6177,Vang hồng,2,2013-08-29
INV10104,6177,Bò bít tết,2,2013-08-29
INV10105,6177,Vang đỏ Bordeaux,3,2013-11-02
INV10105,6177,Bò bít tết,2,2013-11-02
INV10106,6177,Vang trắng Chablis,3,2013-08-12
INV10106,6177,Bò bít tết,2,2013-08-12
INV10107,6177,Vang hồng,3,2013-04-23
INV10107,6177,Bò bít tết,2,2013-04-23
INV10109,6177,Vang đỏ Bordeaux,3,2013-04-04
INV10109,6177,Bò bít tết,2,2013-04-04
INV10110,6177,Champagne,1,2013-11-15
INV10110,6177,Bò bít tết,1,2013-11-15
INV10111,4855,Vang trắng Chablis,3,2013-02-22
INV10111,4855,Bò bít tết,1,2013-02-22
INV10112,4855,Vang trắng Chablis,2,2013-03-19
INV10112,4855,Bò bít tết,2,2013-03-19
INV10113,4855,Bò bít tết,1,2013-08-26
INV10113,4855,Cá ngừ,1,2013-08-26
INV10114,4855,Thịt lợn Iberico,2,2013-10-06
INV10116,5899,Vang đỏ Bordeaux,1,2013-08-15
INV10116,5899,Bò bít tết,1,2013-08-15
INV10118,1994,Vang đỏ Bordeaux,3,2013-06-15
INV10119,1994,Champagne,1,2013-11-23
INV10119,1994,Bò bít tết,1,2013-11-23
INV10120,387,Champagne,3,2013-06-16
INV10120,387,Bò bít tết,1,2013-06-16
INV10120,387,Cá hồi Na Uy,2,2013-06-16
INV10121,387,Cá hồi Na Uy,2,2013-12-19
INV10123,387,Champagne,3,2013-11-17
INV10123,387,Bò bít tết,1,2013-11-17
INV10123,387,Cá hồi Na Uy,2,2013-11-17
INV10125,2125,Thịt lợn Iberico,2,2013-08-13
INV10129,2125,Cá hồi Na Uy,2,2013-11-03
INV10132,2125,Mực ống,1,2013-11-14
INV10133,2125,Mực ống,2,2013-12-04
INV10134,2125,Champagne,2,2013-10-10
INV10134,2125,Bò bít tết,2,2013-10-10
INV10134,2125,Mực ống,1,2013-10-10
INV10135,2125,Bò bít tết,1,2013-01-23
INV10135,2125,Cá hồi Na Uy,1,2013-01-23
INV10137,2125,Cá hồi Na Uy,1,2013-09-27
INV10138,2125,Thịt lợn Iberico,1,2013-01-07
INV10139,2125,Vang hồng,2,2013-11-24
INV10139,2125,Gà thả vườn,2,2013-11-24
INV10140,8180,Vang đỏ Bordeaux,1,2013-02-06
INV10140,8180,Gà thả vườn,1,2013-02-06
INV10141,8180,Vang trắng Chablis,3,2013-04-08
INV10141,8180,Bò bít tết,1,2013-04-08
INV10142,8180,Vang đỏ Bordeaux,3,2013-10-13
INV10142,8180,Bò bít tết,2,2013-10-13
INV10143,8180,Bò bít tết,2,2013-08-07
INV10144,8180,Vang hồng,2,2013-12-03
